**************************************** TYPE INT ****************************************

                   FACTORIAL:          ITERATIVE FACTORIAL:          RECURSIVE FACTORIAL: 
                      140!                     1.35e+241                     1.35e+241
                      141!                     1.90e+243                     1.90e+243
                      142!                     2.70e+245                     2.70e+245
                      143!                     3.85e+247                     3.85e+247
                      144!                     5.55e+249                     5.55e+249
                      145!                     8.05e+251                     8.05e+251
                      146!                     1.17e+254                     1.17e+254
                      147!                     1.73e+256                     1.73e+256
                      148!                     2.56e+258                     2.56e+258
                      149!                     3.81e+260                     3.81e+260
                      150!                     5.71e+262                     5.71e+262
                      151!                     8.63e+264                     8.63e+264
                      152!                     1.31e+267                     1.31e+267
                      153!                     2.01e+269                     2.01e+269
                      154!                     3.09e+271                     3.09e+271
                      155!                     4.79e+273                     4.79e+273
                      156!                     7.47e+275                     7.47e+275
                      157!                     1.17e+278                     1.17e+278
                      158!                     1.85e+280                     1.85e+280
                      159!                     2.95e+282                     2.95e+282
                      160!                     4.71e+284                     4.71e+284
                      161!                     7.59e+286                     7.59e+286
                      162!                     1.23e+289                     1.23e+289
                      163!                     2.00e+291                     2.00e+291
                      164!                     3.29e+293                     3.29e+293
                      165!                     5.42e+295                     5.42e+295
                      166!                     9.00e+297                     9.00e+297
                      167!                     1.50e+300                     1.50e+300
                      168!                     2.53e+302                     2.53e+302
                      169!                     4.27e+304                     4.27e+304
                      170!                     7.26e+306                     7.26e+306
